iter	Passed	Remaining
833	3540	704
834	3544	700
835	3548	696
836	3552	691
837	3555	687
838	3560	683
839	3563	678
840	3567	674
841	3572	670
842	3576	666
843	3580	661
844	3584	657
845	3588	653
846	3593	649
847	3596	644
848	3600	640
849	3604	636
850	3608	631
851	3612	627
852	3616	623
853	3620	618
854	3624	614
855	3628	610
856	3632	606
857	3636	601
858	3640	597
859	3644	593
860	3648	589
861	3652	584
862	3656	580
863	3660	576
864	3664	571
865	3667	567
866	3671	563
867	3675	558
868	3679	554
869	3683	550
870	3687	546
871	3691	541
872	3695	537
873	3699	533
874	3703	529
875	3708	524
876	3711	520
877	3715	516
878	3719	512
879	3723	507
880	3728	503
881	3731	499
882	3735	494
883	3739	490
884	3743	486
885	3748	482
886	3752	477
887	3755	473
888	3759	469
889	3763	465
890	3767	460
891	3771	456
892	3776	452
893	3780	448
894	3784	443
895	3788	439
896	3792	435
897	3796	431
898	3800	426
899	3804	422
900	3808	418
901	3812	414
902	3816	409
903	3820	405
904	3824	401
905	3828	397
906	3832	393
907	3836	388
908	3841	384
909	3845	380
910	3849	376
911	3853	371
912	3858	367
913	3862	363
914	3866	359
915	3870	354
916	3875	350
917	3879	346
918	3883	342
919	3887	338
920	3891	333
921	3895	329
922	3899	325
923	3903	321
924	3907	316
925	3911	312
926	3915	308
927	3920	304
928	3925	299
929	3929	295
930	3933	291
931	3938	287
932	3943	283
933	3947	278
934	3951	274
935	3956	270
936	3961	266
937	3965	262
938	3969	257
939	3974	253
940	3978	249
941	3982	245
942	3986	240
943	3991	236
944	3995	232
945	3999	228
946	4003	224
947	4008	219
948	4012	215
949	4016	211
950	4020	207
951	4025	202
952	4029	198
953	4033	194
954	4037	190
955	4042	186
956	4045	181
957	4049	177
958	4054	173
959	4058	169
960	4062	164
961	4066	160
962	4070	156
963	4075	152
964	4078	147
965	4082	143
966	4087	139
967	4091	135
968	4094	131
969	4098	126
970	4103	122
971	4107	118
972	4111	114
973	4115	109
974	4119	105
975	4124	101
976	4128	97
977	4132	92
978	4136	88
979	4140	84
980	4144	80
981	4148	76
982	4153	71
983	4157	67
984	4161	63
985	4165	59
986	4170	54
987	4173	50
988	4177	46
989	4181	42
990	4185	38
991	4189	33
992	4194	29
993	4198	25
994	4203	21
995	4206	16
996	4210	12
997	4214	8
998	4218	4
999	4222	0
